"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DIVISLAB","EQ","20-Apr-2017","        633.35","        636.40","        638.00","        629.50","        631.00","        630.90","        632.48","     497703","           314787590.30","      11370","     233459","         46.91"
"DIVISLAB","EQ","21-Apr-2017","        630.90","        633.60","        637.00","        630.00","        631.00","        630.85","        632.78","     484788","           306763785.90","      10716","     191227","         39.45"
"DIVISLAB","EQ","24-Apr-2017","        630.85","        610.15","        639.05","        606.00","        634.95","        634.85","        626.72","    2643935","          1657014386.65","      43966","     733407","         27.74"
"DIVISLAB","EQ","25-Apr-2017","        634.85","        638.00","        649.25","        634.35","        646.00","        647.25","        642.54","    1302405","           836847963.60","      31198","     532244","         40.87"
"DIVISLAB","EQ","26-Apr-2017","        647.25","        627.80","        645.45","        627.80","        642.25","        643.50","        639.98","    1064558","           681290804.55","      23205","     286000","         26.87"
"DIVISLAB","EQ","27-Apr-2017","        643.50","        640.00","        643.50","        627.10","        630.80","        629.65","        633.30","     899486","           569644886.50","      20239","     421777","         46.89"
"DIVISLAB","EQ","28-Apr-2017","        629.65","        630.15","        633.90","        625.00","        627.85","        628.40","        629.45","     664760","           418435799.15","      17445","     258784","         38.93"
"DIVISLAB","EQ","02-May-2017","        628.40","        629.90","        636.55","        623.00","        628.60","        626.75","        628.61","     678683","           426623835.75","      23121","     253310","         37.32"
"DIVISLAB","EQ","03-May-2017","        626.75","        629.70","        632.10","        622.65","        624.00","        624.75","        625.74","     605083","           378622008.70","      18206","     312808","         51.70"
"DIVISLAB","EQ","04-May-2017","        624.75","        625.25","        632.55","        625.00","        626.05","        626.90","        627.91","     370345","           232543562.95","      11650","     110223","         29.76"
"DIVISLAB","EQ","05-May-2017","        626.90","        626.50","        634.00","        623.05","        625.65","        625.95","        627.23","     750235","           470572589.85","      16359","     374198","         49.88"
